check,got,expected,tol,unit,pass,source
"P_0 (профильная)",67.865488,67.900000,0.500000,W,1,§5.3.1
"P_i (индуктивная)",93.534512,93.500000,0.500000,W,1,§5.3.1
"d_0*s_r (паразитная)",0.083094,0.083100,0.002000,-,1,§5.3.1
"P_obs на висении",190.467315,191.400000,1.000000,W,1,паспорт 4TD
"tau_bat север",1446.467298,1446.470000,1.000000,s,1,§10.12
"tau_eff север",1446.000000,1446.000000,1.000000,s,1,§10.12
"R_LB север",3.000000,3.000000,0.000000,-,1,§10.1.6
"полёт до C1",219.498622,219.500000,1.000000,s,1,§10.10
"запас P6 север",18.802586,18.803000,0.050000,Wh,1,§10.1.6
"экранов пройдено",6.000000,6.000000,0.000000,-,1,§10.1.6
"tau_bat Велия",-65.500877,-65.501000,0.100000,s,1,§10.12
"запас P6 Велия",-35.221820,-35.222000,0.050000,Wh,1,§10.12
"экранов пройдено",0.000000,0.000000,0.000000,-,1,§10.12
"R_LB Велия бесконечен",1.000000,1.000000,0.000000,-,1,§10.12
"17 pretests пройдены",1.000000,1.000000,0.000000,-,1,§10.5
"f1 флот",4.000000,4.000000,0.000000,UAV,1,§10.9
"f2 makespan",63.361203,63.361000,0.050000,min,1,§10.9
"f3 энергия",426.933444,426.933000,0.600000,Wh,1,§10.9
"проверок",132.000000,125.000000,0.000000,-,0,§10.4
"нарушений",0.000000,0.000000,0.000000,-,1,§10.4
"зарядок в плане",1.000000,1.000000,0.000000,-,1,§10.7
"доказанный оптимум",1.000000,1.000000,0.000000,-,1,§10.9
"диапазон надир-утопия f1",0.000000,0.000000,0.000001,UAV,1,§10.9
"диапазон надир-утопия f2",0.000000,0.000000,0.001000,min,1,§10.9
"диапазон надир-утопия f3",0.000000,0.000000,0.010000,Wh,1,§10.9
"база Centola_AIB",0.000000,0.000000,0.000000,-,1,§10.10
"база VVF_Vallo",0.000000,0.000000,0.000000,-,1,§10.10
"база VVF_Agropoli",0.000000,0.000000,0.000000,-,1,§10.10
"база Elis_Pattano",0.000000,0.000000,0.000000,-,1,§10.10
"база CM_Futani",0.000000,0.000000,0.000000,-,1,§10.10
"база CM_Laureana",1.000000,1.000000,0.000000,-,1,§10.10
"N_res=0 -> f1",4.000000,4.000000,0.000000,UAV,1,§10.8.2
"N_res=0 -> f3",426.933444,426.933000,0.600000,Wh,1,§10.8.2
"N_res=1 -> f1",5.000000,5.000000,0.000000,UAV,1,§10.8.2
"N_res=1 -> f3",426.933444,426.933000,0.600000,Wh,1,§10.8.2
"N_res=2 -> f1",6.000000,6.000000,0.000000,UAV,1,§10.8.2
"N_res=2 -> f3",426.933444,426.933000,0.600000,Wh,1,§10.8.2
