R,required_tau_eff_s,bearing_deg,r_max_km
3,1320.0,0.0,3.5
3,1320.0,15.0,3.25
3,1320.0,30.0,3.0
3,1320.0,45.0,3.0
3,1320.0,60.0,3.0
3,1320.0,75.0,3.0
3,1320.0,90.0,3.25
3,1320.0,105.0,3.5
3,1320.0,120.0,3.75
3,1320.0,135.0,4.25
3,1320.0,150.0,4.25
3,1320.0,165.0,4.0
3,1320.0,180.0,3.5
3,1320.0,195.0,3.25
3,1320.0,210.0,3.0
3,1320.0,225.0,3.0
3,1320.0,240.0,3.0
3,1320.0,255.0,3.0
3,1320.0,270.0,3.25
3,1320.0,285.0,3.5
3,1320.0,300.0,3.75
3,1320.0,315.0,4.25
3,1320.0,330.0,4.25
3,1320.0,345.0,4.0
4,1095.0,0.0,4.75
4,1095.0,15.0,4.5
4,1095.0,30.0,4.25
4,1095.0,45.0,4.0
4,1095.0,60.0,4.0
4,1095.0,75.0,4.0
4,1095.0,90.0,4.25
4,1095.0,105.0,4.5
4,1095.0,120.0,5.0
4,1095.0,135.0,5.5
4,1095.0,150.0,5.75
4,1095.0,165.0,5.5
4,1095.0,180.0,4.75
4,1095.0,195.0,4.5
4,1095.0,210.0,4.25
4,1095.0,225.0,4.0
4,1095.0,240.0,4.0
4,1095.0,255.0,4.0
4,1095.0,270.0,4.25
4,1095.0,285.0,4.5
4,1095.0,300.0,5.0
4,1095.0,315.0,5.5
4,1095.0,330.0,5.75
4,1095.0,345.0,5.5
5,960.0,0.0,5.75
5,960.0,15.0,5.25
5,960.0,30.0,4.75
5,960.0,45.0,4.75
5,960.0,60.0,4.75
5,960.0,75.0,4.75
5,960.0,90.0,5.0
5,960.0,105.0,5.25
5,960.0,120.0,5.75
5,960.0,135.0,6.5
5,960.0,150.0,6.75
5,960.0,165.0,6.25
5,960.0,180.0,5.75
5,960.0,195.0,5.25
5,960.0,210.0,4.75
5,960.0,225.0,4.75
5,960.0,240.0,4.75
5,960.0,255.0,4.75
5,960.0,270.0,5.0
5,960.0,285.0,5.25
5,960.0,300.0,5.75
5,960.0,315.0,6.5
5,960.0,330.0,6.75
5,960.0,345.0,6.25
