sweep,value,f1,f2_min,f3_Wh,dE_pct,charges,bins,checks,violations,proven,seconds,status
A gamma_use,0.60,,,,nan,,,0,0,0,0.03233742713928223,"screen fail: P3,P6"
A gamma_use,0.70,,,,nan,,,0,0,0,0.02508401870727539,"screen fail: P3,P6"
A gamma_use,0.80,5.0,63.361201680510874,416.6315999781589,-2.412985891199072,0,1977,118,0,1,11.122421741485596,optimal
A gamma_use,0.90,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.434803485870361,optimal
A gamma_use,1.00,4.0,63.36120268051087,426.9334437404257,0.0,1,1582,125,0,1,9.792954683303833,optimal
B rho_res,0.10,4.0,63.361202680510885,426.9334437404256,-1.3314351380579276e-14,1,1582,125,0,1,15.359594821929932,optimal
B rho_res,0.20,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.088088750839233,optimal
B rho_res,0.30,5.0,63.36120268051087,416.6315999781589,-2.412985891199072,0,1977,118,0,1,5.939459323883057,optimal
C O_C1 [s],300,4.0,63.361201680510874,414.2356227401198,-2.9741921572267573,1,1582,125,0,1,9.318059921264648,optimal
C O_C1 [s],420,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.376718521118164,optimal
C O_C1 [s],600,4.0,63.36120268051086,454.99676880094023,6.573231840224955,1,1582,125,0,1,4.718863487243652,optimal
D wind scale,x0.0,4.0,62.80587976381838,395.2867693550374,-7.412554544363446,0,1582,113,0,1,33.09828567504883,optimal
D wind scale,x0.5,4.0,63.01857471088789,421.20056042108195,-1.3428049274184537,1,1582,125,0,1,12.0718092918396,optimal
D wind scale,x1.0,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.494106769561768,optimal
D wind scale,x1.5,4.0,64.12054008181758,448.27139076632386,4.997956318191742,1,1378,125,0,1,11.165319681167603,optimal
D wind scale,x2.0,,,,nan,,,0,0,0,0.019541263580322266,screen fail: P6
E R copies,2,,,,nan,,,0,0,0,0.020096302032470703,screen fail: P3
E R copies,3,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.311102390289307,optimal
E R copies,4,4.0,65.38909809826279,527.2608269448776,23.499537146930734,2,1874,156,0,1,139.0947139263153,optimal
E R copies,5,5.0,64.83086386017055,559.9810055674917,31.163537028492566,2,2707,178,0,0,371.17197465896606,time-limit (incumbent)
F speed levels,1,5.0,64.52797663414745,472.7984337611348,10.74288994998361,1,697,130,0,1,3.701968193054199,optimal
F speed levels,3,4.0,63.36120268051087,426.9334437404254,-6.657175690289638e-14,1,1070,125,0,1,13.599209785461426,optimal
F speed levels,5,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.525377750396729,optimal
F speed levels,7,4.0,63.361201680510874,426.9334437404257,0.0,1,2094,125,0,1,9.064661026000977,optimal
G stations,0,5.0,63.361201680510874,411.9534195273763,-3.50874929867457,0,1125,116,0,1,2.032205581665039,optimal
G stations,1,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.38512396812439,optimal
G stations,2,4.0,63.3612026805108,426.9334437404257,0.0,1,2456,127,0,0,121.06406998634338,time-limit (incumbent)
H eta_adm,0.60,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.127309083938599,optimal
H eta_adm,0.80,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.372350692749023,optimal
H eta_adm,0.90,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.170165300369263,optimal
H eta_adm,1.00,4.0,63.36120268051077,426.9334437404247,-2.263439734698477e-13,1,1406,125,0,1,12.52884292602539,optimal
I N_res,0,4.0,63.361201680510874,426.9334437404257,0.0,1,1582,125,0,1,9.514198064804077,optimal
I N_res,1,5.0,63.36120268051087,426.93344374042556,-2.6628702761158552e-14,1,1977,127,0,1,10.340797662734985,optimal
I N_res,2,6.0,63.36120268051087,426.9334437404257,0.0,1,2372,129,0,1,10.773887395858765,optimal
