nF,nN,arcs,vars,bins,cons,time_s,nodes,status,incumbent,bound,gap
2,9,48,1421,1194,1874,1.1918,1,optimal,309.303848,309.303848,0
3,10,64,1837,1582,2343,2.059,1,optimal,325.587503,325.587503,0
4,11,82,2301,2018,2860,2.3214,320,optimal,367.175124,367.175124,0
5,12,102,2813,2502,3425,6.00268,3950,optimal,435.247858,435.247858,0
6,13,124,3373,3034,4038,22.7062,9532,optimal,452.369977,452.369977,0
8,15,174,4637,4242,5408,242.3,86943,infeasible or unbounded,NaN,NaN,NaN
10,17,232,6093,5642,6970,3607.9,741156,time-limit (no incumbent),NaN,570.6,NaN
12,19,298,7741,7234,8724,3602.7,470325,time-limit (no incumbent),NaN,555.9,NaN
15,22,412,10573,9982,11715,4097.4321109,174100,time-limit (no incumbent),NaN,577.391990073125,NaN
20,27,642,16253,15522,17660,3604.6491906,44001,time-limit (no incumbent),NaN,658.791055108831,NaN
