nF,nN,arcs,vars,bins,cons,time_s,nodes,status,incumbent,bound,gap
2,9,48,1421,1194,1902,1.6,1,optimal,307.2,307.2,0
3,10,64,1837,1582,2375,2.5,1,optimal,333.7,333.7,0
4,11,82,2301,2018,2896,4.9,1,optimal,364,364,0
5,12,102,2813,2502,3465,7.2,1,optimal,382.5,382.5,0
6,13,124,3373,3034,4082,51.4,12206,optimal,439.2,439.2,0
8,15,174,4637,4242,5460,601.73,96644,time-limit (incumbent),546.62,479.53,0.12274
10,17,232,6093,5642,7030,604.8,95334,time-limit (no incumbent),NaN,476.2,NaN
12,19,298,7741,7234,8792,601.6,81144,time-limit (no incumbent),NaN,514.1,NaN
15,22,412,10573,9982,11795,602.1,22765,time-limit (no incumbent),NaN,567.3,NaN
20,27,642,16253,15522,17760,603.7,3047,time-limit (no incumbent),NaN,649.6,NaN
