sweep,value,f1,f2_min,f3_Wh,dE_pct,charges,bins,checks,violations,proven,seconds,status
A gamma_use,0.60,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.01497,"screen fail: P3,P6"
A gamma_use,0.70,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.0109962,"screen fail: P3,P6"
A gamma_use,0.80,5,63.3612026805104,416.631599978836,-2.41298589120482,0,1977,124,0,1,17.8596483,"optimal"
A gamma_use,0.90,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,15.3259163,"optimal"
A gamma_use,1.00,4,63.3612026805103,426.933443741144,1.33143513805569e-14,1,1582,132,0,1,16.9647555,"optimal"
B rho_res,0.10,4,63.3612026805104,426.933443741144,1.33143513805569e-14,1,1582,132,0,1,17.1309774,"optimal"
B rho_res,0.20,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,15.5643445,"optimal"
B rho_res,0.30,5,63.3612026805104,416.631599978836,-2.41298589120482,0,1977,124,0,1,17.8374987,"optimal"
C O_C1 [s],300,4,63.3612026805104,414.235622740839,-2.97419215722167,1,1582,132,0,1,15.6923084,"optimal"
C O_C1 [s],420,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,15.7844248,"optimal"
C O_C1 [s],600,4,65.3913354851851,445.980175241603,4.46128823583254,1,1582,132,0,1,16.6098405,"optimal"
D wind scale,x0.0,4,62.8058797638179,395.286769355639,-7.41255454437836,0,1582,119,0,1,19.6879443,"optimal"
D wind scale,x0.5,4,63.0185757108879,421.200560421777,-1.3428049274216,1,1582,132,0,1,17.365651,"optimal"
D wind scale,x1.0,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,16.4915905,"optimal"
D wind scale,x1.5,5,64.0122897489287,465.530996158413,9.04064860298712,1,1977,137,0,1,22.9255061,"optimal"
D wind scale,x2.0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.0119851,"screen fail: P6"
E R copies,2,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.0085667,"screen fail: P3"
E R copies,3,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,16.4811229,"optimal"
E R copies,4,5,63.3612026805105,470.442305531768,10.1910174591532,1,2342,155,0,1,43.7136375,"optimal"
E R copies,5,5,64.8308638535874,559.98071631997,31.1634692782451,2,2707,188,0,1,93.7802949,"optimal"
F speed levels,1: 12,5,64.527976634147,472.798433761648,10.7428899499174,1,697,137,0,1,18.0157388,"optimal"
F speed levels,3: [8 12 15],4,63.3612026805104,426.933443741144,1.33143513805569e-14,1,1070,132,0,1,16.3556421,"optimal"
F speed levels,5: [8 10 12 14 15],4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,18.5932485,"optimal"
F speed levels,7: [8 9 10 12 13 14 15],4,63.3612026805104,426.933443741144,2.66287027611137e-14,1,2094,132,0,1,18.5592164,"optimal"
G stations,0,5,63.3612026805108,411.953419528034,-3.50874929868295,0,1125,122,0,1,15.2536765,"optimal"
G stations,1,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,17.7250769,"optimal"
G stations,2,4,63.3612026805104,426.933443741144,1.33143513805569e-14,1,2456,134,0,1,22.6341553,"optimal"
H eta_adm,0.60,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,17.3438674,"optimal"
H eta_adm,0.80,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,16.7087691,"optimal"
H eta_adm,0.90,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,18.0188402,"optimal"
H eta_adm,1.00,4,63.3612026805104,426.933443741144,1.33143513805569e-14,1,1582,132,0,1,16.4553429,"optimal"
I N_res,0,4,63.3612026805104,426.933443741144,0,1,1582,132,0,1,17.713951,"optimal"
I N_res,1,5,63.3612026805109,426.933443741144,1.33143513805569e-14,1,1977,134,0,1,21.7874027,"optimal"
I N_res,2,6,63.3612026805104,426.933443741144,1.33143513805569e-14,1,2372,136,0,1,25.9526182,"optimal"
